_id,estId,estName,addrFull,srvType,insStatus,insDate,observation,infCategory,defDesc,infType,actionDesc,OutcomeDate,OutcomeDesc,fineAmount,geometry
1,9428822,HIP HOP NAILS,"1880 EGLINTON AVE E, UNIT-30",Aesthetics,Pass,2023-11-21,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.29949, 43.72553]]}"
2,9428822,HIP HOP NAILS,"1880 EGLINTON AVE E, UNIT-30",Nails,Pass,2023-11-21,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.29949, 43.72553]]}"
3,9428833,WILSON'S BARBER SHOP,"111 ISLAND RD, UNIT-16",Barbering & Hairdressing,Pass,2024-02-16,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.13742, 43.7978]]}"
4,9428845,KINGSWAY RETIREMENT HAIR SALON,4251 DUNDAS ST W,Aesthetics,Pass,2023-11-28,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.51445, 43.65888]]}"
5,9428845,KINGSWAY RETIREMENT HAIR SALON,4251 DUNDAS ST W,Barbering & Hairdressing,Pass,2023-11-28,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.51445, 43.65888]]}"
6,9428845,KINGSWAY RETIREMENT HAIR SALON,4251 DUNDAS ST W,Nails,Pass,2023-11-28,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.51445, 43.65888]]}"
7,9428805,NEW IMAGE UNISEX SALON,845 ALBION RD,Aesthetics,Pass,2024-07-25,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.55995, 43.73444]]}"
8,9428805,NEW IMAGE UNISEX SALON,845 ALBION RD,Aesthetics,Pass,2023-09-18,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.55995, 43.73444]]}"
9,9428805,NEW IMAGE UNISEX SALON,845 ALBION RD,Barbering & Hairdressing,Pass,2024-07-25,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.55995, 43.73444]]}"
10,9428805,NEW IMAGE UNISEX SALON,845 ALBION RD,Barbering & Hairdressing,Pass,2023-09-18,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{'type': 'MultiPoint', 'coordinates': [[-79.55995, 43.73444]]}"
